Date,Price
11/29/2011,"Rp580,000.00"
11/30/2011,"Rp585,000.00"
12/1/2011,"Rp587,000.00"
12/2/2011,"Rp578,000.00"
12/5/2011,"Rp584,000.00"
12/6/2011,"Rp572,000.00"
12/7/2011,"Rp573,000.00"
12/8/2011,"Rp576,000.00"
12/9/2011,"Rp570,000.00"
12/12/2011,"Rp569,000.00"
12/13/2011,"Rp566,000.00"
12/14/2011,"Rp562,000.00"
12/15/2011,"Rp559,000.00"
12/16/2011,"Rp650,000.00"
12/16/2011,"Rp560,000.00"
12/19/2011,"Rp564,000.00"
12/20/2011,"Rp565,000.00"
12/21/2011,"Rp569,000.00"
12/22/2011,"Rp568,000.00"
12/23/2011,"Rp567,000.00"
12/27/2011,"Rp563,000.00"
12/28/2011,"Rp563,000.00"
12/29/2011,"Rp557,000.00"
12/30/2011,"Rp555,000.00"
1/2/2012,"Rp555,000.00"
1/3/2012,"Rp559,000.00"
1/4/2012,"Rp565,000.00"
1/5/2012,"Rp566,000.00"
1/6/2012,"Rp567,000.00"
1/9/2012,"Rp565,000.00"
1/10/2012,"Rp566,000.00"
1/11/2012,"Rp570,000.00"
1/12/2012,"Rp571,000.00"
1/13/2012,"Rp572,000.00"
1/16/2012,"Rp565,000.00"
1/17/2012,"Rp566,000.00"
1/18/2012,"Rp567,000.00"
1/19/2012,"Rp564,000.00"
1/20/2012,"Rp559,000.00"
1/24/2012,"Rp559,000.00"
1/25/2012,"Rp557,000.00"
1/26/2012,"Rp571,000.00"
1/27/2012,"Rp572,000.00"
1/30/2012,"Rp573,000.00"
1/31/2012,"Rp570,000.00"
2/1/2012,"Rp571,000.00"
2/2/2012,"Rp574,000.00"
2/3/2012,"Rp569,000.00"
2/3/2012,"Rp573,000.00"
2/6/2012,"Rp565,000.00"
2/7/2012,"Rp564,000.00"
2/8/2012,"Rp570,000.00"
2/9/2012,"Rp568,000.00"
2/10/2012,"Rp566,000.00"
2/13/2012,"Rp570,000.00"
2/14/2012,"Rp570,000.00"
2/15/2012,"Rp570,000.00"
2/16/2012,"Rp572,000.00"
2/17/2012,"Rp572,000.00"
2/20/2012,"Rp576,000.00"
2/21/2012,"Rp576,000.00"
2/22/2012,"Rp581,000.00"
2/23/2012,"Rp588,000.00"
2/24/2012,"Rp589,000.00"
2/27/2012,"Rp588,000.00"
2/28/2012,"Rp588,000.00"
2/29/2012,"Rp592,000.00"
3/1/2012,"Rp578,000.00"
3/2/2012,"Rp579,000.00"
3/5/2012,"Rp578,000.00"
3/6/2012,"Rp577,000.00"
3/7/2012,"Rp573,000.00"
3/8/2012,"Rp575,000.00"
3/9/2012,"Rp577,000.00"
3/12/2012,"Rp578,000.00"
3/13/2012,"Rp576,000.00"
3/14/2012,"Rp571,000.00"
3/15/2012,"Rp567,000.00"
3/16/2012,"Rp570,000.00"
3/19/2012,"Rp571,000.00"
3/20/2012,"Rp571,500.00"
3/21/2012,"Rp569,000.00"
3/22/2012,"Rp570,000.00"
3/26/2012,"Rp573,000.00"
3/27/2012,"Rp579,000.00"
3/28/2012,"Rp579,000.00"
3/29/2012,"Rp576,000.00"
3/30/2012,"Rp576,000.00"
4/2/2012,"Rp579,000.00"
4/3/2012,"Rp579,000.00"
4/4/2012,"Rp574,000.00"
4/5/2012,"Rp568,000.00"
4/9/2012,"Rp574,000.00"
4/10/2012,"Rp574,000.00"
4/11/2012,"Rp574,000.00"
4/12/2012,"Rp575,000.00"
4/13/2012,"Rp577,000.00"
4/16/2012,"Rp568,000.00"
4/17/2012,"Rp567,000.00"
4/18/2012,"Rp567,000.00"
4/19/2012,"Rp570,000.00"
4/23/2012,"Rp564,500.00"
4/24/2012,"Rp564,500.00"
4/25/2012,"Rp565,000.00"
4/26/2012,"Rp565,000.00"
4/27/2012,"Rp565,500.00"
4/30/2012,"Rp565,000.00"
5/1/2012,"Rp563,000.00"
5/2/2012,"Rp559,000.00"
5/3/2012,"Rp555,000.00"
5/4/2012,"Rp554,000.00"
5/4/2012,"Rp555,000.00"
5/7/2012,"Rp558,000.00"
5/8/2012,"Rp558,000.00"
5/9/2012,"Rp554,000.00"
5/10/2012,"Rp552,000.00"
5/10/2012,"Rp554,000.00"
5/10/2012,"Rp552,000.00"
5/11/2012,"Rp553,000.00"
5/14/2012,"Rp553,000.00"
5/14/2012,"Rp553,000.00"
5/15/2012,"Rp553,000.00"
5/16/2012,"Rp549,500.00"
5/21/2012,"Rp552,500.00"
5/21/2012,"Rp552,500.00"
5/22/2012,"Rp552,500.00"
5/23/2012,"Rp550,500.00"
5/24/2012,"Rp550,500.00"
5/25/2012,"Rp550,500.00"
5/25/2012,"Rp550,500.00"
5/28/2012,"Rp552,000.00"
5/29/2012,"Rp555,000.00"
5/30/2012,"Rp551,000.00"
5/31/2012,"Rp556,000.00"
6/1/2012,"Rp555,000.00"
6/4/2012,"Rp563,000.00"
6/5/2012,"Rp565,000.00"
6/6/2012,"Rp565,000.00"
6/7/2012,"Rp565,000.00"
6/8/2012,"Rp560,000.00"
6/11/2012,"Rp565,000.00"
6/12/2012,"Rp561,000.00"
6/13/2012,"Rp563,000.00"
6/14/2012,"Rp564,000.00"
6/15/2012,"Rp566,000.00"
6/18/2012,"Rp566,000.00"
6/19/2012,"Rp567,000.00"
6/20/2012,"Rp565,000.00"
6/21/2012,"Rp563,000.00"
6/22/2012,"Rp557,000.00"
6/25/2012,"Rp557,000.00"
6/26/2012,"Rp559,000.00"
6/27/2012,"Rp558,000.00"
6/28/2012,"Rp558,000.00"
6/29/2012,"Rp555,000.00"
7/2/2012,"Rp562,000.00"
7/3/2012,"Rp558,000.00"
7/4/2012,"Rp565,000.00"
7/5/2012,"Rp560,000.00"
7/6/2012,"Rp559,000.00"
7/9/2012,"Rp555,000.00"
7/10/2012,"Rp556,000.00"
7/11/2012,"Rp555,000.00"
7/12/2012,"Rp554,000.00"
7/13/2012,"Rp551,000.00"
7/13/2012,"Rp551,000.00"
7/16/2012,"Rp559,000.00"
7/17/2012,"Rp559,000.00"
7/18/2012,"Rp555,000.00"
7/19/2012,"Rp551,000.00"
7/20/2012,"Rp554,000.00"
7/23/2012,"Rp554,000.00"
7/24/2012,"Rp554,000.00"
7/25/2012,"Rp555,000.00"
7/26/2012,"Rp560,000.00"
7/27/2012,"Rp564,000.00"
7/30/2012,"Rp565,000.00"
7/31/2012,"Rp565,000.00"
8/1/2012,"Rp562,000.00"
8/2/2012,"Rp561,000.00"
8/3/2012,"Rp559,000.00"
8/6/2012,"Rp562,000.00"
8/7/2012,"Rp563,000.00"
8/8/2012,"Rp563,000.00"
8/9/2012,"Rp563,000.00"
8/10/2012,"Rp562,000.00"
8/13/2012,"Rp563,000.00"
8/14/2012,"Rp560,000.00"
8/15/2012,"Rp558,000.00"
8/16/2012,"Rp558,000.00"
8/23/2012,"Rp570,000.00"
8/24/2012,"Rp574,000.00"
8/27/2012,"Rp575,500.00"
8/28/2012,"Rp572,000.00"
8/29/2012,"Rp572,500.00"
8/30/2012,"Rp570,000.00"
8/31/2012,"Rp571,000.00"
9/3/2012,"Rp581,000.00"
9/4/2012,"Rp583,000.00"
9/5/2012,"Rp583,000.00"
9/6/2012,"Rp583,000.00"
9/7/2012,"Rp584,000.00"
9/10/2012,"Rp599,000.00"
9/11/2012,"Rp596,000.00"
9/12/2012,"Rp596,000.00"
9/13/2012,"Rp595,200.00"
9/14/2012,"Rp607,200.00"
9/17/2012,"Rp608,200.00"
9/18/2012,"Rp596,200.00"
9/19/2012,"Rp601,200.00"
9/20/2012,"Rp605,200.00"
9/21/2012,"Rp604,200.00"
9/24/2012,"Rp604,200.00"
9/25/2012,"Rp604,200.00"
9/26/2012,"Rp604,200.00"
